age,monthly_income,education_level,upi_transactions,rent_paid_on_time,utility_bills_paid,has_savings_account,employment_months,income_level,credit_score
28,85000,4,45,1,1,1,24,high,750
32,45000,5,25,1,1,1,60,medium,680
26,25000,2,80,0,1,0,8,low,520
29,75000,4,35,1,1,1,36,high,720
35,35000,3,50,1,0,1,48,medium,600
24,55000,4,40,1,1,1,18,medium,695
40,20000,1,60,0,0,0,72,low,480
27,42000,4,30,1,1,1,30,medium,665
31,65000,4,25,1,1,1,84,high,740
25,30000,3,70,0,1,0,12,low,550
45,50000,2,40,1,0,1,120,medium,620
30,70000,5,20,1,1,1,42,high,715
28,48000,3,55,1,1,0,24,medium,640
33,40000,4,35,1,1,1,36,medium,675
26,15000,3,90,0,0,0,6,low,450
22,35000,3,45,1,1,0,18,medium,590
38,60000,3,30,1,1,1,72,high,710
29,25000,2,65,0,1,0,15,low,485
34,55000,4,25,1,1,1,48,medium,685
27,80000,5,40,1,1,1,30,high,760
